author,study,n,sens,sens_b,sens_t,prec,prec_b,prec_t,f1,f1_b,f1_t,rob
kaiume,S10,256,64.5,58.6,70.3,79.3,73.8,84.8,0,0,0,1
li,S11-1,9874,93.3,91.6,94.9,0,0,0,0,0,0,0
li,S11-2,13524,90.9,88.3,92.6,93.7,91.3,95.6,92.3,90.2,94.1,0
lin,S12,1037,91.1,84.3,97.9,89.7,87.7,91.7,0,0,0,0
niiya,S14,199,93.5,90,96.9,63.5,58,69,75.6,70.8,80.4,1
zhou_D,S24-1,480,90.4,89.8,91.9,85.3,80.5,89.3,87.8,84.7,90.6,0
zhou_D,S24-2,214,94.9,89.7,97.8,78.4,72.2,83.2,85.9,82.4,88.6,0
zhou_D,S24-3,266,86.8,84.1,89.8,92.4,89.5,95.5,89.5,86.8,91.4,0
zhou_D,S24-4,567,85.9,84.6,87.1,81.2,74.6,84.3,83.5,79.8,86.3,0
zhou_D,S24-5,270,83.3,81.1,86.6,79.8,72.6,85.2,81.5,78.5,84.4,0
zhou_D,S24-6,1073,79.5,78,80.8,88.8,85.7,91.2,83.9,82.3,84.7,0
zhou_d,S25-1,250,92.4,88,96.3,83.1,78.6,86.9,87.5,84.9,89.2,0
zhou_d,S25-2,131,97.3,94.5,99.7,79.9,73,82.2,87.7,83.6,88.9,0
zhou_d,S25-3,144,87.5,81.1,94,85.7,79.1,92.4,86.6,82.6,89.5,0
zhou_p,S26,193,90.6,85.9,94.8,84.4,77.5,88.2,87.3,83.4,90.2,0
